,CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (µM),IC50 (µM),Amax,ActArea,CCLE name,Cell line primary name,Cell line aliases,Gender,Site Primary,Histology,Hist Subtype1,CCLE tumor type,CCLE tumor type 2,Notes,Source,Expression arrays,SNP arrays,Hybrid capture/Sequencing,OncoMap,Drug sensitivity profiling
0,AU565_BREAST,AU565,17-AAG,HSP90,0.0025,-18.0,0.28,8,Sigmoid,0.021328464,0.0233486,-71.35012054,4.2668,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
0,AU565_BREAST,AU565,17-AAG,HSP90,0.008,-13.0,12.3,8,Sigmoid,0.021328464,0.0233486,-71.35012054,4.2668,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
0,AU565_BREAST,AU565,17-AAG,HSP90,0.025,-55.0,7.15,8,Sigmoid,0.021328464,0.0233486,-71.35012054,4.2668,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
0,AU565_BREAST,AU565,17-AAG,HSP90,0.08,-72.0,7.16,8,Sigmoid,0.021328464,0.0233486,-71.35012054,4.2668,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
0,AU565_BREAST,AU565,17-AAG,HSP90,0.25,-69.0,1.84,8,Sigmoid,0.021328464,0.0233486,-71.35012054,4.2668,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
0,AU565_BREAST,AU565,17-AAG,HSP90,0.8,-72.0,1.17,8,Sigmoid,0.021328464,0.0233486,-71.35012054,4.2668,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
0,AU565_BREAST,AU565,17-AAG,HSP90,2.53,-73.0,3.39,8,Sigmoid,0.021328464,0.0233486,-71.35012054,4.2668,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
0,AU565_BREAST,AU565,17-AAG,HSP90,8.0,-71.0,5.24,8,Sigmoid,0.021328464,0.0233486,-71.35012054,4.2668,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
1,AU565_BREAST,AU565,AEW541,IGF1R,0.0025,15.3,20.4,8,Sigmoid,9.06517521,8.0,-40.80118561,0.7651,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
1,AU565_BREAST,AU565,AEW541,IGF1R,0.008,5.67,4.88,8,Sigmoid,9.06517521,8.0,-40.80118561,0.7651,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
1,AU565_BREAST,AU565,AEW541,IGF1R,0.025,7.83,21.4,8,Sigmoid,9.06517521,8.0,-40.80118561,0.7651,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
1,AU565_BREAST,AU565,AEW541,IGF1R,0.08,3.45,12.2,8,Sigmoid,9.06517521,8.0,-40.80118561,0.7651,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
1,AU565_BREAST,AU565,AEW541,IGF1R,0.25,-12.0,16.7,8,Sigmoid,9.06517521,8.0,-40.80118561,0.7651,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
1,AU565_BREAST,AU565,AEW541,IGF1R,0.8,-5.9,3.44,8,Sigmoid,9.06517521,8.0,-40.80118561,0.7651,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
1,AU565_BREAST,AU565,AEW541,IGF1R,2.53,-20.0,9.7,8,Sigmoid,9.06517521,8.0,-40.80118561,0.7651,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
1,AU565_BREAST,AU565,AEW541,IGF1R,8.0,-43.0,1.59,8,Sigmoid,9.06517521,8.0,-40.80118561,0.7651,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
2,AU565_BREAST,AU565,AZD0530,ABL,0.0025,-11.0,7.69,8,Constant,,8.0,-2.102397203,0.2328,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
2,AU565_BREAST,AU565,AZD0530,ABL,0.008,10.4,3.51,8,Constant,,8.0,-2.102397203,0.2328,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
2,AU565_BREAST,AU565,AZD0530,ABL,0.025,-12.0,16.2,8,Constant,,8.0,-2.102397203,0.2328,AU565_BREAST,AU565,,F,breast,carcinoma,,breast,solid,Metastatic pair: SK-BR-3 and AU565 are from the same patient,ATCC,1,1,1,1,1
